sample,plot,treatment,species,light,diameter,rootdepth,rootdm,stemdm,leafdm,licorleafdm,totalleafdm,totaldm,rmf,smf,lmf,agmf,la,scsa,leafstemratio,notes
231,P,Control,ABLA,28.5,2.37,6.3,0.1073,0.1015,0.2584,,0.2584,0.4672,0.229666096,0.217251712,0.553082192,0.770333904,22.362,0.044115029,506.9020759,
232,P,Control,ABLA,28.5,0.98,3.1,0.0106,0.0119,0.0241,,0.0241,0.0466,0.227467811,0.255364807,0.517167382,0.772532189,2.508,0.007542964,332.4952914,
233,P,Control,ABLA,28.5,2.24,6.2,0.1122,0.1802,0.321,0.0246,0.3456,0.638,0.175862069,0.282445141,0.54169279,0.824137931,32.072,0.039408138,813.8420496,
234,P,Control,ABLA,28.5,2.37,12.5,0.1736,0.1542,0.3153,,0.3153,0.6431,0.269942466,0.239776085,0.490281449,0.730057534,25.344,0.044115029,574.4980865,
235,P,Control,ABLA,28.5,2.02,10.2,0.204,0.1343,0.3561,,0.3561,0.6944,0.293778802,0.193404378,0.51281682,0.706221198,30.83,0.032047387,962.0129194,
236,P,Control,ABLA,28.5,2.7,8.8,0.1972,0.1589,0.5019,,0.5019,0.858,0.22983683,0.185198135,0.584965035,0.77016317,39.402,0.057255526,688.1781144,
237,Q,Drought,PIEN,13,1.94,10.2,0.1026,0.1016,0.1725,0.0352,0.2077,0.4119,0.249089585,0.246661811,0.504248604,0.750910415,17.747,0.029559245,600.3874535,
238,Q,Drought,ABLA,13,2.02,7,0.1272,0.1371,0.2482,,0.2482,0.5125,0.248195122,0.267512195,0.484292683,0.751804878,23.155,0.032047387,722.5238128,
239,Q,Drought,ABLA,13,0.65,4.4,0.0093,0.0071,0.0037,,0.0037,0.0201,0.462686567,0.353233831,0.184079602,0.537313433,0.529,0.003318307,159.4186318,
240,Q,Drought,ABLA,13,1.79,7.4,0.0534,0.0844,0.1952,,0.1952,0.333,0.16036036,0.253453453,0.586186186,0.83963964,18.15,0.025164943,721.2414637,
241,Q,Drought,ABLA,13,0.99,4.4,0.0192,0.0158,0.0309,,0.0309,0.0659,0.291350531,0.239757208,0.468892261,0.708649469,2.877,0.007697687,373.7486144,
242,Q,Drought,ABLA,13,0.9,3.8,0.0107,0.0093,0.0198,,0.0198,0.0398,0.268844221,0.233668342,0.497487437,0.731155779,2.164,0.006361725,340.1593055,
